"-------------------------------------------------------------------------------------------"
" Monthly average O18 concentrations (per mil) derived from flask air samples               "
" Alert, NWT, Canada: Latitude 82.3N Longitude 62.3W Elevation 210m                         "
"                                                                                           "
" Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and            "
" and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                    "
"                                                                                           "
" Flask data in this file through 21-Aug-2019 last updated 05-Nov-2019                      "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly isotope concentrations in per-mil.  This is the     "
" standard version of the data most often sought.  The monthly values have been adjusted    "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are measured on the '08A' calibration scale                            "
"                                                                                           "
  Yr, Mn,    Date,      Date,     O18,seasonally,        fit,  seasonally,      O18, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,[per mil],[per mil],  [per mil],[per mil],  [per mil],[per mil]
1985, 01,   31062, 1985.0411,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1985, 02,   31093, 1985.1260,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1985, 03,   31121, 1985.2027,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1985, 04,   31152, 1985.2877,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1985, 05,   31182, 1985.3699,    -0.88,    -1.36,      -0.67,    -1.16,      -0.88,    -1.36
1985, 06,   31213, 1985.4548,    -0.39,    -0.78,      -0.75,    -1.13,      -0.39,    -0.78
1985, 07,   31243, 1985.5370,    -0.77,    -0.86,      -1.01,    -1.10,      -0.77,    -0.86
1985, 08,   31274, 1985.6219,   -99.99,   -99.99,      -1.38,    -1.08,      -1.38,    -1.08
1985, 09,   31305, 1985.7068,    -1.80,    -1.21,      -1.64,    -1.05,      -1.80,    -1.21
1985, 10,   31335, 1985.7890,    -1.61,    -0.99,      -1.64,    -1.02,      -1.61,    -0.99
1985, 11,   31366, 1985.8740,    -1.44,    -1.03,      -1.41,    -1.00,      -1.44,    -1.03
1985, 12,   31396, 1985.9562,    -1.08,    -0.95,      -1.10,    -0.97,      -1.08,    -0.95
1986, 01,   31427, 1986.0411,    -0.89,    -0.99,      -0.85,    -0.95,      -0.89,    -0.99
1986, 02,   31458, 1986.1260,    -0.61,    -0.85,      -0.69,    -0.92,      -0.61,    -0.85
1986, 03,   31486, 1986.2027,    -0.68,    -1.01,      -0.57,    -0.90,      -0.68,    -1.01
1986, 04,   31517, 1986.2877,    -0.48,    -0.92,      -0.44,    -0.88,      -0.48,    -0.92
1986, 05,   31547, 1986.3699,    -0.41,    -0.90,      -0.37,    -0.86,      -0.41,    -0.90
1986, 06,   31578, 1986.4548,    -0.19,    -0.58,      -0.45,    -0.84,      -0.19,    -0.58
1986, 07,   31608, 1986.5370,    -0.66,    -0.76,      -0.73,    -0.82,      -0.66,    -0.76
1986, 08,   31639, 1986.6219,    -1.15,    -0.85,      -1.11,    -0.81,      -1.15,    -0.85
1986, 09,   31670, 1986.7068,    -1.75,    -1.17,      -1.38,    -0.79,      -1.75,    -1.17
1986, 10,   31700, 1986.7890,    -1.57,    -0.95,      -1.40,    -0.78,      -1.57,    -0.95
1986, 11,   31731, 1986.8740,    -1.01,    -0.59,      -1.18,    -0.77,      -1.01,    -0.59
1986, 12,   31761, 1986.9562,    -0.65,    -0.52,      -0.89,    -0.76,      -0.65,    -0.52
1987, 01,   31792, 1987.0411,    -0.61,    -0.71,      -0.66,    -0.76,      -0.61,    -0.71
1987, 02,   31823, 1987.1260,    -0.37,    -0.61,      -0.52,    -0.75,      -0.37,    -0.61
1987, 03,   31851, 1987.2027,    -0.49,    -0.81,      -0.42,    -0.75,      -0.49,    -0.81
1987, 04,   31882, 1987.2877,    -0.59,    -1.03,      -0.31,    -0.75,      -0.59,    -1.03
1987, 05,   31912, 1987.3699,    -0.35,    -0.83,      -0.26,    -0.75,      -0.35,    -0.83
1987, 06,   31943, 1987.4548,    -0.47,    -0.85,      -0.36,    -0.74,      -0.47,    -0.85
1987, 07,   31973, 1987.5370,    -0.73,    -0.82,      -0.65,    -0.74,      -0.73,    -0.82
1987, 08,   32004, 1987.6219,    -1.08,    -0.78,      -1.04,    -0.74,      -1.08,    -0.78
1987, 09,   32035, 1987.7068,    -1.52,    -0.93,      -1.32,    -0.73,      -1.52,    -0.93
1987, 10,   32065, 1987.7890,    -1.58,    -0.96,      -1.34,    -0.73,      -1.58,    -0.96
1987, 11,   32096, 1987.8740,    -0.85,    -0.43,      -1.13,    -0.72,      -0.85,    -0.43
1987, 12,   32126, 1987.9562,    -0.76,    -0.62,      -0.85,    -0.72,      -0.76,    -0.62
1988, 01,   32157, 1988.0410,    -0.42,    -0.52,      -0.61,    -0.72,      -0.42,    -0.52
1988, 02,   32188, 1988.1257,    -0.40,    -0.63,      -0.48,    -0.71,      -0.40,    -0.63
1988, 03,   32217, 1988.2049,    -0.23,    -0.56,      -0.38,    -0.71,      -0.23,    -0.56
1988, 04,   32248, 1988.2896,    -0.34,    -0.77,      -0.28,    -0.72,      -0.34,    -0.77
1988, 05,   32278, 1988.3716,    -0.32,    -0.81,      -0.23,    -0.72,      -0.32,    -0.81
1988, 06,   32309, 1988.4563,    -0.57,    -0.95,      -0.34,    -0.72,      -0.57,    -0.95
1988, 07,   32339, 1988.5383,    -0.53,    -0.62,      -0.64,    -0.73,      -0.53,    -0.62
1988, 08,   32370, 1988.6230,    -1.17,    -0.86,      -1.05,    -0.74,      -1.17,    -0.86
1988, 09,   32401, 1988.7077,   -99.99,   -99.99,      -1.33,    -0.74,      -1.33,    -0.74
1988, 10,   32431, 1988.7896,   -99.99,   -99.99,      -1.36,    -0.75,      -1.36,    -0.75
1988, 11,   32462, 1988.8743,   -99.99,   -99.99,      -1.17,    -0.76,      -1.17,    -0.76
1988, 12,   32492, 1988.9563,   -99.99,   -99.99,      -0.89,    -0.76,      -0.89,    -0.76
1989, 01,   32523, 1989.0411,    -0.57,    -0.67,      -0.67,    -0.77,      -0.57,    -0.67
1989, 02,   32554, 1989.1260,    -0.61,    -0.85,      -0.54,    -0.78,      -0.61,    -0.85
1989, 03,   32582, 1989.2027,    -0.59,    -0.92,      -0.46,    -0.79,      -0.59,    -0.92
1989, 04,   32613, 1989.2877,    -0.35,    -0.78,      -0.36,    -0.80,      -0.35,    -0.78
1989, 05,   32643, 1989.3699,    -0.34,    -0.82,      -0.32,    -0.81,      -0.34,    -0.82
1989, 06,   32674, 1989.4548,    -0.38,    -0.77,      -0.43,    -0.82,      -0.38,    -0.77
1989, 07,   32704, 1989.5370,    -0.61,    -0.71,      -0.74,    -0.83,      -0.61,    -0.71
1989, 08,   32735, 1989.6219,    -1.06,    -0.76,      -1.14,    -0.84,      -1.06,    -0.76
1989, 09,   32766, 1989.7068,    -1.47,    -0.89,      -1.43,    -0.85,      -1.47,    -0.89
1989, 10,   32796, 1989.7890,    -1.48,    -0.86,      -1.47,    -0.85,      -1.48,    -0.86
1989, 11,   32827, 1989.8740,    -1.32,    -0.90,      -1.27,    -0.86,      -1.32,    -0.90
1989, 12,   32857, 1989.9562,    -1.10,    -0.97,      -1.00,    -0.87,      -1.10,    -0.97
1990, 01,   32888, 1990.0411,    -0.68,    -0.78,      -0.78,    -0.88,      -0.68,    -0.78
1990, 02,   32919, 1990.1260,    -0.67,    -0.90,      -0.65,    -0.89,      -0.67,    -0.90
1990, 03,   32947, 1990.2027,    -0.53,    -0.86,      -0.56,    -0.89,      -0.53,    -0.86
1990, 04,   32978, 1990.2877,    -0.39,    -0.83,      -0.46,    -0.90,      -0.39,    -0.83
1990, 05,   33008, 1990.3699,    -0.37,    -0.86,      -0.41,    -0.90,      -0.37,    -0.86
1990, 06,   33039, 1990.4548,    -0.57,    -0.96,      -0.52,    -0.90,      -0.57,    -0.96
1990, 07,   33069, 1990.5370,    -1.02,    -1.12,      -0.81,    -0.91,      -1.02,    -1.12
1990, 08,   33100, 1990.6219,    -0.95,    -0.65,      -1.21,    -0.91,      -0.95,    -0.65
1990, 09,   33131, 1990.7068,    -1.54,    -0.96,      -1.49,    -0.90,      -1.54,    -0.96
1990, 10,   33161, 1990.7890,    -1.70,    -1.08,      -1.52,    -0.90,      -1.70,    -1.08
1990, 11,   33192, 1990.8740,    -1.40,    -0.99,      -1.31,    -0.90,      -1.40,    -0.99
1990, 12,   33222, 1990.9562,    -1.02,    -0.88,      -1.02,    -0.89,      -1.02,    -0.88
1991, 01,   33253, 1991.0411,    -0.76,    -0.86,      -0.78,    -0.88,      -0.76,    -0.86
1991, 02,   33284, 1991.1260,    -0.63,    -0.87,      -0.63,    -0.87,      -0.63,    -0.87
